:START_ID,:END_ID,type:TYPE,context
microgravity,bone-loss,CAUSES,"Microgravity and unloading are known to cause osteoclast-mediated bone resorption; however, we hypothesize that osteocytic osteolysis, and cell cycle arrest during osteogenesis may also contribute to bone loss in space."
microgravity,osteoclastic-activity,INCREASES,"TRAP-positive osteoclast-covered trabecular bone surfaces also increased in microgravity by 170% (p = 0.004), indicating osteoclastic bone degeneration."
microgravity,osteocytic-osteolysis,CAUSES,"High-resolution X-ray nanoCT studies revealed signs of lacunar osteolysis, including increases in cross-sectional area (+17%, p = 0.022), perimeter (+14%, p = 0.008), and canalicular diameter (+6%, p = 0.037)."
microgravity,matrix-metalloproteinases-mmp,INCREASES,"Expression of matrix metalloproteinases (MMP) 1, 3, and 10 in bone, as measured by RT-qPCR, was also up-regulated in microgravity (+12.94, +2.98 and +16.85 fold respectively, p<0.01)"
mmp10,osteocytic-osteolysis,ASSOCIATED_WITH,"MMP10 localized to osteocytes, and consistent with induction of osteocytic osteolysis."
microgravity,cdkn1a-p21,INCREASES,expression of CDKN1a/p21 in bone increased 3.31 fold (p<0.01)
cdkn1a-p21,osteoblastic-cell-cycle-inhibition,CAUSES,CDKN1a/p21... inhibiting the cell cycle during tissue regeneration
microgravity,trp53-p53,DECREASES,Trp53 was down-regulated by -1.54 fold
c57bl6j-mice,pelvic-bone,PART_OF,"Analysis of the pelvis by µCT shows decreases in bone volume fraction (BV/TV) of 6.29%, and bone thickness of 11.91%."
uct-micro-computed-tomography,pelvic-bone,USED_FOR,"Analysis of the pelvis by µCT shows decreases in bone volume fraction (BV/TV) of 6.29%, and bone thickness of 11.91%."
microgravity,bone-volume-fraction-bv-tv,DECREASES,decreases in bone volume fraction (BV/TV) of 6.29%
microgravity,bone-thickness,DECREASES,decreases in bone thickness of 11.91%
nanoc-t-high-resolution-x-ray-nanoc-t,osteocytic-osteolysis,USED_FOR,High-resolution X-ray nanoCT studies revealed signs of lacunar osteolysis
microgravity,osteoblastic-cell-cycle-inhibition,CAUSES,"new evidence for microgravity-induced osteocytic osteolysis, and CDKN1a/p21-mediated osteogenic cell cycle arrest."
cdkn1a-p21,bone-loss,CONTRIBUTES_TO,CDKN1a/p21-mediated osteogenic cell cycle arrest... contribute to bone loss
microgravity,biological-systems,INFLUENCES,"Microgravity... profoundly influences biological systems, including human cells."
microgravity,immune-system,IMPAIRS,Microgravity significantly impacts the immune system by disrupting key mechanisms
immune-system,human-health,IMPAIRS,disrupting key mechanisms... leading to increased susceptibility to infections.
microgravity,t-cell-activation,DISRUPTS_PROCESS_OF,"disrupting key mechanisms, such as T cell activation"
microgravity,macrophage-differentiation,DISRUPTS_PROCESS_OF,disrupting key mechanisms... macrophage differentiation
microgravity,cancer-stem-cells,PROMOTES,it promotes the formation of spheroids in cancer stem cells
microgravity,thyroid-cancer-cells,PROMOTES,it promotes the formation of spheroids in ... thyroid cancer cells
microgravity,tissue-regeneration,ENHANCES,microgravity enhances tissue regeneration by modulating critical pathways
